id,key,label,description,weight,category,sort_order,is_active,created_at,assessment_type,department_id
ffc8a20b-d8f6-402a-96f6-3351aa5e7448,s16,"Làm việc nhóm","Khả năng hợp tác, phối hợp với đồng nghiệp và các bộ phận để hoàn thành mục tiêu chung",3.0,"Áp dụng cho tất cả nhân viên",16,t,"2026-04-24 11:36:23.019012+00",360,
0810c218-7896-4391-b3b6-d7526d5741bf,s17,"Lãnh đạo","Khả năng định hướng, truyền cảm hứng và dẫn dắt đội nhóm đạt mục tiêu",3.0,"Chỉ áp dụng đối với nhân viên có trách nhiệm quản lý",17,t,"2026-04-24 11:36:23.019012+00",360,
9b256cf3-14ff-44d2-b655-00bdcae33165,tc5204,"Upgrade yourself in Skills, knowledge… by participating internal/ external courses periodically. Coach/train IPDP or MT as assigned","- Internal: IPDP or FTM/MM courses as planned - E - learning :2 courses per year - Coach/ Mentor/ Training IPDP, MT as assigned - Sharing in S2G, SoS…",5.0,"Phát triển nhân viên",0,t,"2025-12-18 07:48:14.057+00",kpi,
5984a4e5-4544-433f-b6e7-ba5005f28301,tc844,"Customer service (internal) / Supports to other team/ staff to achieve target, arrange work,…","Number of complaints (one compliment/successful advice minus 1) ",5.0,"Customer complaint",0,t,"2025-12-18 07:42:03.307+00",kpi,
4dc0971b-e594-4641-8da2-00a333fdc73f,tc1196,"The Customer Service Staff is responsible for handling import cargo irregular cases according to Customer Service Supervisor’s instruction.",,5.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
72d89f51-b60c-409a-80a6-010dfff0c68a,tc860,"Develop yourself","Self-learning or Training courses (internal or external) ",5.0,"Phát triển bản thân",0,t,"2025-12-18 07:42:03.307+00",kpi,
10d5990c-a0d4-412c-a7fc-044bf5d4496b,l2024.068,"HRBP Cold Chain","""- Be responsible for conducting, following promotion procedure, re-contracted staff controlling - Following the timesheet month of employees - Coordinate with head office’s C&B head office to follow all HR policies"" ",7.0,"Nhân sự",0,t,"2025-12-13 17:53:05.38+00",kpi,
dcb04e02-bd08-4e5a-b081-045689975936,s10,"Kiến thức nghề nghiệp - kỹ năng về kỹ thuật","Hiểu được công việc đảm nhận, trách nhiệm về công việc liên quan, thực thi công việc bằng kỹ năng, khả năng cần thiết, công nghệ, công cụ",3.0,"Áp dụng cho tất cả nhân viên (Manager)",0,t,"2025-12-15 03:58:59.92+00",360,
f541f89d-fe4b-4d3d-9369-045c4640c258,h2023.147,"Infrastructure management","System Performance Management ",10.0,"Công nghệ thông tin & truyền thông - Quản trị hệ thống mạng máy tính",0,t,"2025-12-13 17:47:22.51+00",kpi,
0224d0ec-9ab6-487c-a338-047e7f857c3e,h2023.033,"% of (preferred) suppliers not used in last 12 months","TTỷ lệ tiết kiệm cho các dự án (bao gồm ITL Group trên cả nước)",20.0,"Thu mua, Cung ứng & Thuê ngoài - Thu mua",0,t,"2025-12-13 17:47:22.51+00",kpi,
eb16e030-3469-46b7-9114-048a03d2abd6,tc1355,"Hợp tác với các Airlines Feeders",,10.0,"Vận hành - Dịch vụ vận chuyển",0,t,"2025-12-18 07:42:03.307+00",kpi,
5c51b40f-a326-486b-91b9-04e42d39db0a,tc929,"ICT SOP Management","Amount missing to process",5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
bd7a10f8-f18c-46cd-baf4-06345fe13e5a,tc1069,"Time-to-respond to security incidents","Speed IT can respond to and investigate security events.",5.0,"Công nghệ thông tin & truyền thông - Bảo mật",0,t,"2025-12-18 07:42:03.307+00",kpi,
c8096fe2-90c4-4f10-8caa-0635808e8393,l2024.031,"""Employee Relations  • Conflict Resolution: Address and resolve employee disputes, complaints, or grievances in a fair and timely manner, acting as a neutral party to mediate conflicts.  • Employee Engagement: Develop initiatives to boost employee mor","""Employee Satisfaction Score Employee Grievance Resolution Time Conflict Resolution Rate Employee Retention Rate Manager-Employee Relationship Score "" ",2.0,"Nhân sự",0,t,"2025-12-13 17:53:05.38+00",kpi,
5afe9130-fbec-4d41-94fd-0677dae5e45a,tc1050,"5. Set priority all requirements about manpowers (hot issue, shortage of recruitment…)",,5.0,"Nhân sự",0,t,"2025-12-18 07:42:03.307+00",kpi,
ca1428dc-51ef-48ef-ae44-06a71b6e23e8,tc917,Teamwork,"""Teamwork / Independentlywork Can support or back up teamates in work"" ",5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
4fb07059-e4c3-427c-94c7-06e35363ceed,tc1443,"Customer services","Understand the customers' expectation to take good care services.  ",10.0,"Customer requirement",0,t,"2025-12-18 07:42:03.307+00",kpi,
