employee_id,cycle_id,overall_score,rating_label,manager_note,strengths,needs_dev,created_at,assessment_type
f2e28ede-7069-4882-a2c2-a8d6ac10974d,880cf192-aa6e-4552-b4b4-5f615ae2471a,3.32,Khá,"Cần phát triển thêm kỹ năng lãnh đạo.","{""Giao tiếp"",""Lãnh đạo""}","{""Kỹ năng trình bày"",""Tư duy chiến lược""}","2026-04-24 14:19:10.240078+00",kpi
f2e28ede-7069-4882-a2c2-a8d6ac10974d,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,3.62,Khá,"Đóng góp tích cực vào dự án chiến lược.","{""Lãnh đạo"",""Phân tích""}","{""Kỹ năng đàm phán"",""Tư duy chiến lược""}","2026-04-24 14:19:10.240078+00",kpi
f2e28ede-7069-4882-a2c2-a8d6ac10974d,e58d9159-09e3-4ad9-96e4-197a3fab86cb,3.32,Khá,"Cần phát triển thêm kỹ năng lãnh đạo.","{""Kỹ thuật"",""Giao tiếp""}","{""Kỹ năng trình bày"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
f2e28ede-7069-4882-a2c2-a8d6ac10974d,14130fb9-1690-4dbf-a7f6-bcae1da343d0,3.42,Khá,"Cần cải thiện kỹ năng quản lý thời gian.","{""Giao tiếp"",""Học hỏi nhanh""}","{""Kỹ năng trình bày"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
3c287f70-2066-49c8-b44b-c1eca2b26d8d,880cf192-aa6e-4552-b4b4-5f615ae2471a,4.61,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Lãnh đạo"",""Giao tiếp""}","{""Kỹ năng đàm phán"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
3c287f70-2066-49c8-b44b-c1eca2b26d8d,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,4.61,Tốt,"Hoàn thành tốt các mục tiêu đề ra.","{""Kỹ thuật"",""Sáng kiến""}","{""Kỹ năng đàm phán"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
3c287f70-2066-49c8-b44b-c1eca2b26d8d,e58d9159-09e3-4ad9-96e4-197a3fab86cb,4.21,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Lãnh đạo"",""Học hỏi nhanh""}","{""Tư duy chiến lược"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
3c287f70-2066-49c8-b44b-c1eca2b26d8d,14130fb9-1690-4dbf-a7f6-bcae1da343d0,4.31,Tốt,"Cần phát triển thêm kỹ năng lãnh đạo.","{""Học hỏi nhanh"",""Kỹ thuật""}","{""Kỹ năng trình bày"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,880cf192-aa6e-4552-b4b4-5f615ae2471a,3.52,Khá,"Hoàn thành tốt các mục tiêu đề ra.","{""Sáng kiến"",""Học hỏi nhanh""}","{""Kỹ năng đàm phán"",""Tư duy chiến lược""}","2026-04-24 14:19:10.240078+00",kpi
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,3.62,Khá,"Cần phát triển thêm kỹ năng lãnh đạo.","{""Học hỏi nhanh"",""Giao tiếp""}","{""Kỹ năng trình bày"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,e58d9159-09e3-4ad9-96e4-197a3fab86cb,3.21,Khá,"Cần phát triển thêm kỹ năng lãnh đạo.","{""Phân tích"",""Sáng kiến""}","{""Kỹ năng đàm phán"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,14130fb9-1690-4dbf-a7f6-bcae1da343d0,3.52,Khá,"Cần cải thiện kỹ năng quản lý thời gian.","{""Kỹ thuật"",""Phân tích""}","{""Kỹ năng trình bày"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
b50d6fd6-5c2e-4133-8aee-f3b093b46113,880cf192-aa6e-4552-b4b4-5f615ae2471a,4.38,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Kỹ thuật"",""Học hỏi nhanh""}","{""Kỹ năng trình bày"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
b50d6fd6-5c2e-4133-8aee-f3b093b46113,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,4.28,Tốt,"Đóng góp tích cực vào dự án chiến lược.","{""Giao tiếp"",""Sáng kiến""}","{""Tư duy chiến lược"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
b50d6fd6-5c2e-4133-8aee-f3b093b46113,e58d9159-09e3-4ad9-96e4-197a3fab86cb,4.68,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Lãnh đạo"",""Kỹ thuật""}","{""Tư duy chiến lược"",""Kỹ năng trình bày""}","2026-04-24 14:19:10.240078+00",kpi
b50d6fd6-5c2e-4133-8aee-f3b093b46113,14130fb9-1690-4dbf-a7f6-bcae1da343d0,4.68,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Giao tiếp"",""Sáng kiến""}","{""Quản lý thời gian"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,880cf192-aa6e-4552-b4b4-5f615ae2471a,3.43,Khá,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Sáng kiến"",""Phân tích""}","{""Tư duy chiến lược"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,3.53,Khá,"Đóng góp tích cực vào dự án chiến lược.","{""Lãnh đạo"",""Sáng kiến""}","{""Kỹ năng trình bày"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,e58d9159-09e3-4ad9-96e4-197a3fab86cb,3.33,Khá,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Kỹ thuật"",""Học hỏi nhanh""}","{""Quản lý thời gian"",""Kỹ năng đàm phán""}","2026-04-24 14:19:10.240078+00",kpi
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,14130fb9-1690-4dbf-a7f6-bcae1da343d0,3.33,Khá,"Cần cải thiện kỹ năng quản lý thời gian.","{""Kỹ thuật"",""Học hỏi nhanh""}","{""Kỹ năng đàm phán"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
0854716d-392b-47e0-b6c1-70d9d41e5579,880cf192-aa6e-4552-b4b4-5f615ae2471a,4.62,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Giao tiếp"",""Sáng kiến""}","{""Tư duy chiến lược"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
0854716d-392b-47e0-b6c1-70d9d41e5579,99b2f2d8-7100-4ad0-ba7b-588491f6ffe1,4.83,Tốt,"Thể hiện tinh thần làm việc nhóm xuất sắc.","{""Giao tiếp"",""Sáng kiến""}","{""Kỹ năng trình bày"",""Quản lý thời gian""}","2026-04-24 14:19:10.240078+00",kpi
