employee_id,project_name,project_type,project_role,project_client,project_value,project_status,kt_successor,kt_successor_role,kt_start_date,kt_target_date,kt_overall_progress,kt_items,a360_overall,a360_benchmark,a360_period,a360_sources,a360_criteria,a360_strengths,a360_needs_dev,a360_manager_note,training_hours,last_promotion_year,updated_at
f2e28ede-7069-4882-a2c2-a8d6ac10974d,"AI Forecasting","Kinh doanh",Sponsor,"Khách hàng A","31B VNĐ",planning,,,,,70,[],4.60,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.4}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.3}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.2}]","[{""label"": ""Lãnh đạo"", ""score"": 2.8}, {""label"": ""Giao tiếp"", ""score"": 3.2}, {""label"": ""Làm việc nhóm"", ""score"": 3.7}]","[""Giải quyết vấn đề"", ""Hỗ trợ nhóm""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",67,2023,"2026-04-24 14:19:16.763731+00"
3c287f70-2066-49c8-b44b-c1eca2b26d8d,"WMS Upgrade","Kinh doanh",Member,"Nội bộ","46B VNĐ",completed,,,,,32,[],4.60,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.5}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.1}, {""role"": ""Cấp dưới"", ""score"": 3.8}]","[{""label"": ""Lãnh đạo"", ""score"": 4.5}, {""label"": ""Giao tiếp"", ""score"": 3.6}, {""label"": ""Làm việc nhóm"", ""score"": 4.1}]","[""Hỗ trợ nhóm"", ""Kỹ năng kỹ thuật""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",86,2021,"2026-04-24 14:19:16.763731+00"
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,"Digital Transformation","Kinh doanh",Contributor,"Khách hàng A","10B VNĐ",completed,,,,,72,[],4.10,5.00,2025,"[{""role"": ""Quản lý trực tiếp"", ""score"": 4.5}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.8}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 4.5}, {""label"": ""Giao tiếp"", ""score"": 4.7}, {""label"": ""Làm việc nhóm"", ""score"": 4.9}]","[""Sáng tạo"", ""Giải quyết vấn đề""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",119,2020,"2026-04-24 14:19:16.763731+00"
b50d6fd6-5c2e-4133-8aee-f3b093b46113,"ISO Certification","Hành chính",Contributor,"Nội bộ","27B VNĐ",planning,,,,,89,[],4.60,5.00,2025,"[{""role"": ""Quản lý trực tiếp"", ""score"": 3.3}, {""role"": ""Cấp dưới"", ""score"": 4.3}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.9}]","[{""label"": ""Lãnh đạo"", ""score"": 3.5}, {""label"": ""Giao tiếp"", ""score"": 4.8}, {""label"": ""Làm việc nhóm"", ""score"": 4.3}]","[""Sáng tạo"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",91,2024,"2026-04-24 14:19:16.763731+00"
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,"CRM Implementation","Vận hành",Sponsor,"Khách hàng B","42B VNĐ",active,,,,,66,[],4.00,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.7}, {""role"": ""Cấp dưới"", ""score"": 5.0}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.7}]","[{""label"": ""Lãnh đạo"", ""score"": 4.7}, {""label"": ""Giao tiếp"", ""score"": 4.9}, {""label"": ""Làm việc nhóm"", ""score"": 4.8}]","[""Giải quyết vấn đề"", ""Sáng tạo""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",92,2023,"2026-04-24 14:19:16.763731+00"
0854716d-392b-47e0-b6c1-70d9d41e5579,"Sustainability Initiative","Vận hành",Contributor,"Khách hàng B","35B VNĐ",planning,,,,,18,[],3.70,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 3.2}, {""role"": ""Cấp dưới"", ""score"": 4.1}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 3.4}, {""label"": ""Giao tiếp"", ""score"": 4.3}, {""label"": ""Làm việc nhóm"", ""score"": 4.8}]","[""Sáng tạo"", ""Giải quyết vấn đề""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",81,2022,"2026-04-24 14:19:16.763731+00"
db0df6e4-b7f1-40b0-9996-b527ca597b60,"WMS Upgrade","Vận hành",Member,"Khách hàng B","37B VNĐ",completed,,,,,96,[],4.30,5.00,2025,"[{""role"": ""Quản lý trực tiếp"", ""score"": 4.6}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.8}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.3}]","[{""label"": ""Lãnh đạo"", ""score"": 4.0}, {""label"": ""Giao tiếp"", ""score"": 4.5}, {""label"": ""Làm việc nhóm"", ""score"": 4.7}]","[""Đáng tin cậy"", ""Giải quyết vấn đề""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",41,2022,"2026-04-24 14:19:16.763731+00"
998e9d4a-ff27-41a5-b680-4007c52d42c7,"CRM Implementation","Hành chính",Contributor,"Đối tác C","5B VNĐ",active,,,,,14,[],3.00,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 3.2}, {""role"": ""Cấp dưới"", ""score"": 4.3}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.6}]","[{""label"": ""Lãnh đạo"", ""score"": 3.3}, {""label"": ""Giao tiếp"", ""score"": 4.9}, {""label"": ""Làm việc nhóm"", ""score"": 4.7}]","[""Giải quyết vấn đề"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",87,2019,"2026-04-24 14:19:16.763731+00"
4145ec08-5925-453e-ace7-08fd3da5ef00,"ISO Certification","Công nghệ",Sponsor,"Nội bộ","30B VNĐ",completed,,,,,99,[],3.20,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.7}, {""role"": ""Cấp dưới"", ""score"": 4.9}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.3}]","[{""label"": ""Lãnh đạo"", ""score"": 4.1}, {""label"": ""Giao tiếp"", ""score"": 3.1}, {""label"": ""Làm việc nhóm"", ""score"": 3.7}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",83,2022,"2026-04-24 14:19:16.763731+00"
a1408646-9cc0-4f8f-8501-0b46e510fc5d,"AI Forecasting","Hành chính",Member,"Nội bộ","46B VNĐ",completed,,,,,17,[],4.20,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.2}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.7}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 2.7}, {""label"": ""Giao tiếp"", ""score"": 4.7}, {""label"": ""Làm việc nhóm"", ""score"": 4.4}]","[""Kỹ năng kỹ thuật"", ""Hỗ trợ nhóm""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",40,2023,"2026-04-24 14:19:16.763731+00"
