id,position_id,talent_id,readiness,priority,gap_score,cycle_id,notes,created_at,updated_at
f69aa83d-6001-4065-ac8c-11243582bfcd,9a74d376-5239-4084-90ae-f8e047c1b2f9,d6d636e5-698b-4c3a-a688-d920005ba018,"Ready Now",1,12.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
a906ec0a-198c-460a-9a56-a46b5a10c85f,9a74d376-5239-4084-90ae-f8e047c1b2f9,33c52043-018b-49ac-952a-c799e35dd86e,"Ready in 1 Year",2,34.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
763c84a6-121c-4b01-97c9-9e4031ade257,4b712e37-e8ce-4b3d-8220-94559b5ed7f4,1ff47fe7-2592-4f68-a57a-5fd7c49ec950,"Ready Now",1,15.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
44ddf742-129f-43f7-b0bd-ce48ee0ebe54,4b712e37-e8ce-4b3d-8220-94559b5ed7f4,9a4f2512-8277-48f6-83de-fd91f6b778ad,"Ready in 1 Year",2,20.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
fd88d5dc-0873-42c1-8ff9-7af6cfa567c4,4b712e37-e8ce-4b3d-8220-94559b5ed7f4,b6475511-39d7-40ed-929a-a57e8ef3d8af,"Ready in 2 Years",3,17.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
cf96f034-cd7b-4d5b-acef-396d04a8b3d3,aa2fba40-8a80-46cd-a726-e06e24edc571,db0df6e4-b7f1-40b0-9996-b527ca597b60,"Ready Now",1,5.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
cc0f66d8-8b8a-42cf-9ebf-6464549e8e2f,aa2fba40-8a80-46cd-a726-e06e24edc571,b50d6fd6-5c2e-4133-8aee-f3b093b46113,"Ready in 1 Year",2,16.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
b0673bc3-01d5-44c7-b770-267c41719250,47d0e602-02bd-47cc-b542-5a2156d3dc26,33855c4f-a2ce-4fcf-8975-b5df6fd959c5,"Ready Now",1,16.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
633d443c-3381-465f-b035-cb03eaa98912,47d0e602-02bd-47cc-b542-5a2156d3dc26,debc6700-5ee6-4260-ac49-4b18419793e3,"Ready in 1 Year",2,25.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
7f29e34a-6140-433d-9e00-4aa81d5a3633,47d0e602-02bd-47cc-b542-5a2156d3dc26,3dbd8dfc-a0d2-44fe-b1a2-13225b73b26a,"Ready in 2 Years",3,14.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
